text,spam
The presentation has been moved to 3PM.,0
Reminder: The deadline for project submission is Friday.,0
Happy Birthday! Hope you have a great day.,0
Happy Birthday! Hope you have a great day.,0
Claim your free vacation now. No strings attached.,1
Meeting scheduled for Monday at 10AM in the conference room.,0
The presentation has been moved to 3PM.,0
Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,1
Can you review the document and provide feedback by tomorrow?,0
You have been selected for a special offer. Act now!,1
Don't forget to submit your timesheet by end of day.,0
Can you review the document and provide feedback by tomorrow?,0
Claim your free vacation now. No strings attached.,1
Can you review the document and provide feedback by tomorrow?,0
Lunch tomorrow? Thinking of trying that new Italian place.,0
You have unclaimed rewards. Verify your identity to receive them.,1
Earn money from home. No investment required. Start today!,1
Can you review the document and provide feedback by tomorrow?,0
Meeting scheduled for Monday at 10AM in the conference room.,0
See you at the team outing next week!,0
Your loan is approved. Contact us immediately for more info.,1
You have unclaimed rewards. Verify your identity to receive them.,1
Meeting scheduled for Monday at 10AM in the conference room.,0
Get rich quick with this simple trick. Financial freedom awaits.,1
Let's catch up over coffee this week.,0
See you at the team outing next week!,0
You have been selected for a special offer. Act now!,1
You have been selected for a special offer. Act now!,1
Hot singles in your area are waiting to chat with you.,1
The presentation has been moved to 3PM.,0
Don't forget to submit your timesheet by end of day.,0
Urgent! Your account has been compromised. Click the link to secure it.,1
Lunch tomorrow? Thinking of trying that new Italian place.,0
Claim your free vacation now. No strings attached.,1
The presentation has been moved to 3PM.,0
Your loan is approved. Contact us immediately for more info.,1
Can you review the document and provide feedback by tomorrow?,0
Urgent! Your account has been compromised. Click the link to secure it.,1
Earn money from home. No investment required. Start today!,1
Your loan is approved. Contact us immediately for more info.,1
You have unclaimed rewards. Verify your identity to receive them.,1
Please find the attached report for Q3 and let me know your thoughts.,0
Reminder: The deadline for project submission is Friday.,0
Earn money from home. No investment required. Start today!,1
Get rich quick with this simple trick. Financial freedom awaits.,1
Get rich quick with this simple trick. Financial freedom awaits.,1
Happy Birthday! Hope you have a great day.,0
You have been selected for a special offer. Act now!,1
You have unclaimed rewards. Verify your identity to receive them.,1
Let's catch up over coffee this week.,0
Urgent! Your account has been compromised. Click the link to secure it.,1
Let's catch up over coffee this week.,0
Let's catch up over coffee this week.,0
Urgent! Your account has been compromised. Click the link to secure it.,1
Earn money from home. No investment required. Start today!,1
See you at the team outing next week!,0
Hot singles in your area are waiting to chat with you.,1
See you at the team outing next week!,0
Get rich quick with this simple trick. Financial freedom awaits.,1
"Limited time deal! Buy one, get one free on all items.",1
"Limited time deal! Buy one, get one free on all items.",1
"Limited time deal! Buy one, get one free on all items.",1
Reminder: The deadline for project submission is Friday.,0
Can you review the document and provide feedback by tomorrow?,0
Can you review the document and provide feedback by tomorrow?,0
You have been selected for a special offer. Act now!,1
Happy Birthday! Hope you have a great day.,0
Don't forget to submit your timesheet by end of day.,0
Hot singles in your area are waiting to chat with you.,1
Claim your free vacation now. No strings attached.,1
You have unclaimed rewards. Verify your identity to receive them.,1
Get rich quick with this simple trick. Financial freedom awaits.,1
Please find the attached report for Q3 and let me know your thoughts.,0
You have been selected for a special offer. Act now!,1
Don't forget to submit your timesheet by end of day.,0
Hot singles in your area are waiting to chat with you.,1
Don't forget to submit your timesheet by end of day.,0
Reminder: The deadline for project submission is Friday.,0
Let's catch up over coffee this week.,0
You have been selected for a special offer. Act now!,1
"Limited time deal! Buy one, get one free on all items.",1
You have unclaimed rewards. Verify your identity to receive them.,1
Please find the attached report for Q3 and let me know your thoughts.,0
Urgent! Your account has been compromised. Click the link to secure it.,1
Get rich quick with this simple trick. Financial freedom awaits.,1
Your loan is approved. Contact us immediately for more info.,1
See you at the team outing next week!,0
Get rich quick with this simple trick. Financial freedom awaits.,1
The presentation has been moved to 3PM.,0
Please find the attached report for Q3 and let me know your thoughts.,0
Don't forget to submit your timesheet by end of day.,0
See you at the team outing next week!,0
Urgent! Your account has been compromised. Click the link to secure it.,1
Claim your free vacation now. No strings attached.,1
You have been selected for a special offer. Act now!,1
Can you review the document and provide feedback by tomorrow?,0
Let's catch up over coffee this week.,0
Your loan is approved. Contact us immediately for more info.,1
"Limited time deal! Buy one, get one free on all items.",1
Earn money from home. No investment required. Start today!,1
Can you review the document and provide feedback by tomorrow?,0
Get rich quick with this simple trick. Financial freedom awaits.,1
Let's catch up over coffee this week.,0
Get rich quick with this simple trick. Financial freedom awaits.,1
You have unclaimed rewards. Verify your identity to receive them.,1
Hot singles in your area are waiting to chat with you.,1
Can you review the document and provide feedback by tomorrow?,0
Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,1
Please find the attached report for Q3 and let me know your thoughts.,0
Don't forget to submit your timesheet by end of day.,0
Can you review the document and provide feedback by tomorrow?,0
Don't forget to submit your timesheet by end of day.,0
Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,1
"Limited time deal! Buy one, get one free on all items.",1
The presentation has been moved to 3PM.,0
Reminder: The deadline for project submission is Friday.,0
See you at the team outing next week!,0
Lunch tomorrow? Thinking of trying that new Italian place.,0
Don't forget to submit your timesheet by end of day.,0
You have been selected for a special offer. Act now!,1
Get rich quick with this simple trick. Financial freedom awaits.,1
Your loan is approved. Contact us immediately for more info.,1
Don't forget to submit your timesheet by end of day.,0
Lunch tomorrow? Thinking of trying that new Italian place.,0
Your loan is approved. Contact us immediately for more info.,1
Earn money from home. No investment required. Start today!,1
